Package Name,Version,License,Link,NPM Link
@changesets/cli,2.28.1,MIT,https://github.com/changesets/changesets#main,https://www.npmjs.com/package/@changesets/cli
@radix-ui/react-icons,1.3.2,MIT,,https://www.npmjs.com/package/@radix-ui/react-icons
@rainbow-me/rainbowkit,2.2.4,MIT,https://github.com/rainbow-me/rainbowkit,https://www.npmjs.com/package/@rainbow-me/rainbowkit
@supabase-cache-helpers/postgrest-react-query,1.12.0,MIT,https://github.com/psteinroe/supabase-cache-helpers,https://www.npmjs.com/package/@supabase-cache-helpers/postgrest-react-query
@supabase/postgrest-js,1.19.3,MIT,https://github.com/supabase/postgrest-js,https://www.npmjs.com/package/@supabase/postgrest-js
@supabase/ssr,0.6.1,MIT,https://github.com/supabase/ssr,https://www.npmjs.com/package/@supabase/ssr
@supabase/supabase-js,2.49.1,MIT,https://github.com/supabase/supabase-js,https://www.npmjs.com/package/@supabase/supabase-js
@tanstack/query-core,5.69.0,MIT,https://github.com/TanStack/query,https://www.npmjs.com/package/@tanstack/query-core
@tanstack/react-query,5.69.0,MIT,https://github.com/TanStack/query,https://www.npmjs.com/package/@tanstack/react-query
@tanstack/react-query-devtools,5.69.0,MIT,https://github.com/TanStack/query,https://www.npmjs.com/package/@tanstack/react-query-devtools
@tanstack/react-table,8.21.2,MIT,https://github.com/TanStack/table,https://www.npmjs.com/package/@tanstack/react-table
@types/node,22.13.10,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/node
@types/react,19.0.11,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/react
@types/react-dom,19.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/react-dom
@wagmi/core,2.16.7,MIT,https://github.com/wevm/wagmi,https://www.npmjs.com/package/@wagmi/core
@weiroll/weiroll.js,0.3.0,MIT,https://github.com/weiroll/weiroll.js,https://www.npmjs.com/package/@weiroll/weiroll.js
abitype,1.0.8,MIT,https://github.com/wevm/abitype,https://www.npmjs.com/package/abitype
autoprefixer,10.4.21,MIT,https://github.com/postcss/autoprefixer,https://www.npmjs.com/package/autoprefixer
class-variance-authority,0.7.1,Apache-2.0,https://github.com/joe-bell/cva,https://www.npmjs.com/package/class-variance-authority
clsx,2.1.1,MIT,https://github.com/lukeed/clsx,https://www.npmjs.com/package/clsx
cross-env,7.0.3,MIT,https://github.com/kentcdodds/cross-env,https://www.npmjs.com/package/cross-env
cross-fetch,4.1.0,MIT,https://github.com/lquixada/cross-fetch,https://www.npmjs.com/package/cross-fetch
csv-parse,5.6.0,MIT,https://github.com/adaltas/node-csv,https://www.npmjs.com/package/csv-parse
dotenv,16.4.7,BSD-2-Clause,git://github.com/motdotla/dotenv,https://www.npmjs.com/package/dotenv
ethers,6.13.5,MIT,git://github.com/ethers-io/ethers.js,https://www.npmjs.com/package/ethers
glob,11.0.1,ISC,git://github.com/isaacs/node-glob,https://www.npmjs.com/package/glob
graphql-request,7.1.2,MIT,https://github.com/jasonkuhrt/graphql-request,https://www.npmjs.com/package/graphql-request
immer,10.1.1,MIT,https://github.com/immerjs/immer,https://www.npmjs.com/package/immer
lodash,4.17.21,MIT,https://github.com/lodash/lodash,https://www.npmjs.com/package/lodash
lodash-es,4.17.21,MIT,https://github.com/lodash/lodash,https://www.npmjs.com/package/lodash-es
lucide-react,0.483.0,ISC,https://github.com/lucide-icons/lucide,https://www.npmjs.com/package/lucide-react
postcss,8.5.3,MIT,https://github.com/postcss/postcss,https://www.npmjs.com/package/postcss
prettier,3.5.3,MIT,https://github.com/prettier/prettier,https://www.npmjs.com/package/prettier
react,19.0.0,MIT,https://github.com/facebook/react,https://www.npmjs.com/package/react
react-dom,19.0.0,MIT,https://github.com/facebook/react,https://www.npmjs.com/package/react-dom
tailwind-merge,3.0.2,MIT,https://github.com/dcastil/tailwind-merge,https://www.npmjs.com/package/tailwind-merge
tailwindcss,4.0.14,MIT,https://github.com/tailwindlabs/tailwindcss,https://www.npmjs.com/package/tailwindcss
tailwindcss-animate,1.0.7,MIT,,https://www.npmjs.com/package/tailwindcss-animate
ts-node,10.9.2,MIT,git://github.com/TypeStrong/ts-node,https://www.npmjs.com/package/ts-node
tsup,8.4.0,MIT,https://github.com/egoist/tsup,https://www.npmjs.com/package/tsup
tsx,4.19.3,MIT,https://github.com/privatenumber/tsx,https://www.npmjs.com/package/tsx
typescript,5.8.2,Apache-2.0,https://github.com/microsoft/TypeScript,https://www.npmjs.com/package/typescript
validator,13.12.0,MIT,https://github.com/validatorjs/validator.js,https://www.npmjs.com/package/validator
viem,2.23.12,MIT,https://github.com/wevm/viem,https://www.npmjs.com/package/viem
wagmi,2.14.15,MIT,https://github.com/wevm/wagmi,https://www.npmjs.com/package/wagmi
zod,3.24.2,MIT,https://github.com/colinhacks/zod,https://www.npmjs.com/package/zod
@types/lodash,4.17.16,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/lodash
csv-writer,1.6.0,MIT,https://github.com/ryu1kn/csv-writer,https://www.npmjs.com/package/csv-writer
graphql,16.10.0,MIT,https://github.com/graphql/graphql-js,https://www.npmjs.com/package/graphql
supabase,2.19.7,MIT,https://github.com/supabase/cli,https://www.npmjs.com/package/supabase
